Physical Collection Name (Islandora),Unique ID# (Islandora),Title (Islandora),Description (Islandora),Date (Islandora),Notes (Islandora),Subject (Islandora),Location (Geographic) (Islandora),Subjects_GPT-OSS
Kerr-McGee Corporation collection,WHC-P-2232_0040,"Kerr-McGee Corporation employee monitoring sodium chlorate production at Henderson, Nevada plant","Black and white photograph depicting a Kerr-McGee Corporation employee wearing an oxygen mask and white rubber gloves checking the electrolytic process that produces sodium chlorate at the Kerr McGee plant in Henderson, Nevada.",circa 1970-1979,,,,
Kerr-McGee Corporation collection,WHC-P-2232_0041,"Kerr-McGee Corporation employee at Cimarron Fuel Fabrication Site near Crescent, Oklahoma","Black and white photograph depicting a Kerr-McGee Corporation employee checking the alignment of a fabricated uranium fuel assembly at the Cimarron Fuel Fabrication Site near Crescent, Oklahoma circa 1975.",circa 1975,,,,
Kerr-McGee Corporation collection,WHC-P-2232_0042,"Kerr-McGee Corporation employee checking ""Christmas tree"" at Parks #1 well in Wheeler County, Texas","Black and white photograph depicting a Kerr-McGee Corporation employee checking a ""Christmas tree"" at Parks #1 well in Wheeler County, Texas. A ""Christmas tree"" refers to equipment that provides flow control on at an oil or gas well. A sign in the photograph reads ""Kerr-McGee Corporation. Parks LSE. ""Morrow Upper"" 58699. Allison Parks (Morrow Upper) Field. ",circa 1960-1980,,,,
Kerr-McGee Corporation collection,WHC-P-2232_0044,Charlie Walton standing beside Dixon Brothers oil rig,Black and white photograph depicting worker Charlie Walton standing beside a Dixon Brothers oil rig in 1927. The Dixon Brothers oil rig was sold to Anderson and Kerr Drilling Company in 1929. Charlie Walton would become an employee of Anderson and Kerr.,1927,,,,
Kerr-McGee Corporation collection,WHC-P-2232_0045,"Aerial view near Cape Yakataga, Alaska","Black and white aerial photograph depicting the area near Cape Yakataga, Alaska in 1954 looking westward on the Yakataga anticline. ",1954,This area was the site of a Kerr-McGee oil well attempt in 1954.,,,
Kerr-McGee Corporation collection,WHC-P-2232_0046,"Kerr-McGee Corporation oil refinery in Corpus Christi, Texas","Black and white photograph depicting Kerr-McGee Corporation's oil refinery in Corpus Christi, Texas, formerly Southwestern Refining Company, in 1974",1974,,,,
Kerr-McGee Corporation collection,WHC-P-2232_0047,"Headframe of Kerr-McGee Corporation Choctaw coal mine near Stigler, Oklahoma","Black and white photograph depicting the headframe of Kerr-McGee Choctaw coal mine near Stigler, Oklahoma",circa 1968-1985,,,,
Kerr-McGee Corporation collection,WHC-P-2232_0049,"Kerr-McGee Corporation trona evaporation unit near Searles Lake, California","Black and white photograph depicting the Kerr-McGee Corporation trona evaporation unit near Searles Lake, California used to process brine.",circa 1967-1985,,,,
Kerr-McGee Corporation collection,WHC-P-2232_0050,Kerr-McGee Corporation oil storage vessel Baraka I at Mubarek Field,Black and white photograph depicting the Kerr-McGee oil storage vessel Baraka I in the Mubarek Field in the Persian Gulf.,circa 1974-1984,,,,
Kerr-McGee Corporation collection,WHC-P-2232_0051,"Kerr-McGee Corporation bulk loading terminal at Wynnewood Refinery, Wynnewood, Oklahoma","Black and white photograph depicting tank trucks at a Kerr-McGee Corporation bulk loading terminal at Wynnewood Refinery in Wynnewood, Oklahoma in 1975.",1975-03-01 00:00:00,,,,
Kerr-McGee Corporation collection,WHC-P-2232_0052,"Kerr-McGee Corporation dragline excavator at Jacobs Ranch Mine near Wright, Wyoming","Black and white photograph depicting a Kerr-McGee Corporation dragline excavator manufactured by Bucyrus-Erie strip mining for coal in 1977 at Jacobs Ranch Mine near Wright, Wyoming. Storage silos are depicted in the background.",1977,,,,
Kerr-McGee Corporation collection,WHC-P-2232_0054,"Triangle Refineries oil terminal at oil refinery facility in Mobile, Alabama","Black and white photograph depicting an oil terminal at the Triangle Refineries oil refinery facility in Mobile, Alabama.",circa 1965-1985,Triangle Refineries was a subsidiary of Kerr-McGee Corporation.,,,
Kerr-McGee Corporation collection,WHC-P-2232_0055,Triangle Refineries oil terminal at oil refinery facility,Black and white photograph depicting an oil terminal at a Triangle Refineries oil refinery facility.,circa 1965-1985,Triangle Refineries was a subsidiary of Kerr-McGee Corporation.,,,
Kerr-McGee Corporation collection,WHC-P-2232_0056,"Kerr-McGee Corporation employee at helium liquefaction plant in Navajo County, Arizona","Black and white photograph depicting a Kerr-McGee Corporation employee at helium liquefaction plant in Navajo County, Arizona in 1964.",1964,,,,
Kerr-McGee Corporation collection,WHC-P-2232_0057,"Pumpjack at Morgan #1 oil well in Seminole County, Oklahoma","Black and white photograph depicting a Kerr-McGee Corporation pumpjack at Morgan #1 oil well at the Konawa dove field in Seminole County, Oklahoma.",circa 1960-1980,"Drilled in 1930, the Morgan #1 oil well was the first oil will drilled for Anderson and Kerr for their own account.",,,
Kerr-McGee Corporation collection,WHC-P-2232_0058,"Kerr-McGee Corporation oil refinery in Corpus Christi, Texas","Black and white photograph taken at twilight depicting Kerr-McGee Corporation's oil refinery in Corpus Christi, Texas, formerly Southwestern Refining Company.",circa 1970-1985,,,,
Kerr-McGee Corporation collection,WHC-P-2232_0060,"Kerr-McGee Corporation uranium mine shaft headframe near Ambrosia Lake in Grants, New Mexico","Black and white photograph depicting the first Kerr-McGee Corporation uranium mine shaft headframe near Ambrosia Lake in Grants, New Mexico in 1959.",1959,,,,
Kerr-McGee Corporation collection,WHC-P-2232_0061,"Brewster Phosphates dragline excavator at phosphate mine in Brewster, Florida","Black and white photograph depicting a Brewster Phosphates dragline excavator mining for phosphate in Brewster, Florida in 1971.",1971,Brewster Phosphates was a subsidiary of Kerr-McGee Corporation.,,,
Kerr-McGee Corporation collection,WHC-P-2232_0063,"Brewster Mill phosphate plant in Brewster, Florida","Black and white photograph depicting a worker wearing a hard hat at the Brewster Mill phosphate plant in Brewster, Florida.",circa 1970-1979,The Brewster Mill phosphate plant was owner in partnership with Kerr-McGee Corporation.,,,
Kerr-McGee Corporation collection,WHC-P-2232_0065,"Mine workers on mine cart at Shiprock Uranium Mine in Navajo County, Arizona","Black and white photograph depicting two mine workers on mine cart at Shiprock Uranium Mine in Navajo County, Arizona.",1953,,,,
Kerr-McGee Corporation collection,WHC-P-2232_0068,"Cotton Valley Refinery in Cotton Valley, Louisiana","Black and white photograph depicting the Kerr-McGee Corporation-owned Cotton Valley Refinery in Cotton Valley, Louisiana.",circa 1970-1985,,,,
Kerr-McGee Corporation collection,WHC-P-2232_0069,"Kerr-McGee Corporation Sequoyah Facility uranium hexafluoride processing plant near Gore, Oklahoma","Black and white photograph depicting the Kerr-McGee Corporation Sequoyah Facility uranium hexafluoride processing plant near Gore, Oklahoma at sunset.",1970,,,,
Kerr-McGee Corporation collection,WHC-P-2232_0071,(NEEDS TO BE MIRROR IMAGED) Kerr-McGee Corporation crew core drilling in search of uranium,Black and white photograph depicting a Kerr-McGee Corporation crew core drilling in search of uranium. Two onlooking children and a mule are seen in the foreground.,circa 1952-1960,,,,
Kerr-McGee Corporation collection,WHC-P-2232_0072,Unidentified Kerr-McGee Corporation plant,Black and white photograph depicting an unidentified Kerr McGee plant used to separate petroleum liquids from natural gas.,circa 1970-1985,,,,
Kerr-McGee Corporation collection,WHC-P-2232_0074,Kerr-McGee Corporation airplane searching for uranium,Black and white photograph of a Kerr-McGee Corporation airplane flying near a rock formation during a uranium prospecting expedition.,circa 1952-1970,,,,
Kerr-McGee Corporation collection,WHC-P-2232_0077,"Kerr-McGee Corporation oil refinery in Wynnewood, Oklahoma","Black and white aerial photograph depicting the Kerr-McGee Corporation oil refinery in Wynnewood, Oklahoma",circa 1965-1980,,,,
Kerr-McGee Corporation collection,WHC-P-2232_0078,Cato Oil & Grease Company semi-trailer trucks,"Black and white photograph depicting three Cato Oil & Grease Company semi-trailer trucks taken on February 23, 1956. The trucks carry the brand of the company's Wanda motor oil.",1956-02-23 00:00:00,The Oklahoma City-based Cato Oil and Grease Company was a subsidiary of the Kerr-McGee Corporation,,,
Kerr-McGee Corporation collection,WHC-P-2232_0079,Kerr-McGee Corporation's Transworld Rig 54 being towed down the Mississippi River,"Black and white photograph depicting the Kerr-McGee Corporation's Transworld Rig 54 being towed down the Mississippi River in the fog on January 19, 1963. The photograph shows the oil platform being towed under the Greater New Orleans Bridge in New Orleans, Louisiana.",1963-01-19 00:00:00,,,,
Kerr-McGee Corporation collection,WHC-P-2232_0080,"Oil rig at Barron Ranch at Ellenberger Field in Garza County, Texas","Black and white photograph depicting an oil rig at Barron Ranch at Ellenberger Field in Garza County, Texas in 1974.",1974,,,,
Kerr-McGee Corporation collection,WHC-P-2232_0081,"Drilling rigs performing uranium exploration near Ambrosia Lake in Grants, New Mexico","Black and white photograph of drilling rigs performing uranium exploration near Ambrosia Lake in Grants, New Mexico in June 1956.",1956-06-01 00:00:00,,,,
Kerr-McGee Corporation collection,WHC-P-2232_0084,"Steam-driven rotary drilling oil rig, undated",Black and white photograph depicting a steam-driven rotary drilling oil rig. The rig depicted is probably one of the first two drilling rigs purchased by R.S. Kerr and James L. Anderson in 1929.,circa 1925-1935,,,,
Kerr-McGee Corporation collection,WHC-P-2232_0085,Transocean Drilling Company oil rig in the North Sea,Black and white photograph depicting a Transocean Drilling Company oil rig in the North Sea.,circa 1967,Transocean Drilling Company was a subsidiary of the Kerr-McGee Corporation.,,,
Kerr-McGee Corporation collection,WHC-P-2232_0086,"Drilling rig in Holt, Texas","Black and white photograph taken in twilight depicting a drilling rig beside a body of water in Holt, Texas.",circa 1970-1985,,,,
Kerr-McGee Corporation collection,WHC-P-2232_0087,Offshore oil rig,"Black and white photograph depicting an offshore oil platform. In the background, the sun is depicted shining through clouds.",circa 1970-1985,,,,
Kerr-McGee Corporation collection,WHC-P-2232_0088,"Kerr-McGee Corporation uranium mine shaft headframe near Ambrosia Lake in Grants, New Mexico","Black and white photograph depicting a Kerr-McGee Corporation uranium mine shaft headframe near Ambrosia Lake in Grants, New Mexico.",circa 1958-1979,,,,
Kerr-McGee Corporation collection,WHC-P-2232_0089,"Drilling operation near Icy Bay, Alaska","Black and white photograph depicting a drilling operation near Icy Bay, Alaska in July 2, 1954. A drilling rig is depicted along with a Caterpillar diesel D 315 engine pumping water for drilling operations.",1954-07-02 00:00:00,,,,
Kerr-McGee Corporation collection,WHC-P-2232_0090,"Kerr-McGee Corporation wildcat well drilling operation in northeast British Columbia, Canada","Black and white photograph depicting an oil rig being used for a wildcat well drilling operation in extreme northeast British Columbia, Canada.",circa 1965-1970,,,,
